name,dependent_repos_count,dependent_packages_count,amp,github_owner,maintainers_count,namespace,repository_url,homepage
find-replace,73158,42,1701.3,75lb,1,,https://github.com/75lb/find-replace,https://github.com/75lb/find-replace#readme
cache-content-type,73060,52,1378.5,alibaba-archive,2,,https://github.com/node-modules/cache-content-type,https://github.com/node-modules/cache-content-type#readme
apollo-link-http-common,73011,64,1123.2,apollographql,2,,https://github.com/apollographql/apollo-link,https://github.com/apollographql/apollo-link#readme
pbkdf2-compat,72954,25,2805.9,browserify,3,,https://github.com/crypto-browserify/pbkdf2-compat,https://github.com/crypto-browserify/pbkdf2-compat
@sinonjs/formatio,72145,15,4509.1,sinonjs,6,sinonjs,https://github.com/sinonjs/formatio,https://sinonjs.github.io/formatio/
@sentry/minimal,72064,60,1181.4,getsentry,11,sentry,https://github.com/getsentry/sentry-javascript,https://github.com/getsentry/sentry-javascript/tree/master/packages/minimal
lodash._baseuniq,71941,50,1410.6,lodash,2,,https://github.com/lodash/lodash,https://lodash.com/
@aws-sdk/service-error-classification,71721,11,5976.8,aws,2,aws-sdk,https://github.com/aws/aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3/tree/main/packages/service-error-classification
lodash._shimkeys,71674,15,4479.6,lodash-archive,2,,https://github.com/lodash/lodash-cli,http://lodash.com/custom-builds
run-node,71622,52,1351.4,sindresorhus,1,,https://github.com/sindresorhus/run-node,https://github.com/sindresorhus/run-node#readme
batch-processor,71605,24,2864.2,wnr,1,,https://github.com/wnr/batch-processor,https://github.com/wnr/batch-processor
nano-json-stream-parser,71484,43,1624.6,VictorTaelin,1,,https://github.com/maiavictor/nano-json-stream-parser,https://github.com/maiavictor/nano-json-stream-parser#readme
servify,71481,40,1743.4,VictorTaelin,1,,https://github.com/maiavictor/servify,https://github.com/maiavictor/servify#readme
@aws-sdk/querystring-parser,71415,14,4761.0,aws,5,aws-sdk,https://github.com/aws/aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3/tree/main/packages/querystring-parser
@aws-sdk/shared-ini-file-loader,71414,49,1428.3,aws,2,aws-sdk,https://github.com/aws/aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3/tree/main/packages/shared-ini-file-loader
@aws-sdk/querystring-builder,71411,13,5100.8,aws,5,aws-sdk,https://github.com/aws/aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3/tree/main/packages/querystring-builder
@aws-sdk/util-uri-escape,71388,10,6489.8,aws,2,aws-sdk,https://github.com/aws/aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3/tree/main/packages/util-uri-escape
@aws-crypto/supports-web-crypto,71361,10,6487.4,aws,2,aws-crypto,https://github.com/aws/aws-sdk-js-crypto-helpers,https://github.com/aws/aws-sdk-js-crypto-helpers/tree/master/packages/supports-web-crypto
@aws-crypto/ie11-detection,71360,10,6487.3,aws,2,aws-crypto,https://github.com/aws/aws-sdk-js-crypto-helpers,https://github.com/aws/aws-sdk-js-crypto-helpers/tree/master/packages/ie11-detection
@aws-sdk/property-provider,71358,36,1928.6,aws,5,aws-sdk,https://github.com/aws/aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3/tree/main/packages/property-provider
@aws-sdk/util-locate-window,71355,11,5946.3,aws,2,aws-sdk,https://github.com/aws/aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3/tree/main/packages-internal/util-locate-window
